,City,Country,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
0,Albany,US,42.65,-73.75,80.06,60,40,8.05
1,Port Alfred,ZA,-33.59,26.89,63.32,88,0,16.04
2,Bambous Virieux,MU,-20.34,57.76,71.6,73,20,9.17
3,Kapaa,US,22.08,-159.32,82.94,81,40,18.34
4,Pyapon,MM,16.29,95.68,73.76,100,92,2.17
5,Hobart,AU,-42.88,147.33,57.2,54,0,9.17
6,Mount Isa,AU,-20.73,139.49,53.6,50,0,9.66
7,Necochea,AR,-38.55,-58.74,66.47,58,0,7.65
8,Cape Town,ZA,-33.93,18.42,57.2,87,40,3.36
9,Cidreira,BR,-30.17,-50.22,62.15,98,92,14.14
10,Soledade,BR,-7.06,-36.37,80.6,51,0,14.99
11,Boromo,BF,11.74,-2.93,77.18,79,0,2.73
12,Lata,IN,30.78,78.62,49.01,100,20,1.72
13,Sobolevo,RU,54.43,31.9,53.69,92,24,3.18
14,Sao Filipe,CV,14.9,-24.5,79.97,90,36,8.99
15,Honningsvag,NO,70.98,25.97,48.2,93,75,3.36
16,Nova Borova,UA,50.69,28.64,58.19,86,0,2.73
17,Loanda,BR,-22.93,-53.14,67.46,97,56,4.97
18,Bathsheba,BB,13.22,-59.52,86.0,74,40,16.11
19,Sur,OM,22.57,59.53,84.47,87,0,5.3
20,Vao,EE,59.1,26.19,56.3,71,24,10.0
21,Hithadhoo,MV,-0.6,73.08,79.97,100,64,10.56
22,Evensk,RU,61.92,159.24,43.88,100,92,10.78
23,Misratah,LY,32.38,15.09,79.34,85,0,7.65
24,Ushuaia,AR,-54.81,-68.31,42.8,80,75,13.87
25,Dikson,RU,73.51,80.55,39.2,99,76,10.33
26,Busselton,AU,-33.64,115.35,47.39,100,0,9.44
27,Butaritari,KI,3.07,172.79,84.92,100,64,11.23
28,Hilo,US,19.71,-155.08,84.02,65,40,9.17
29,Luba,PH,17.32,120.7,74.3,96,100,17.49
30,Puerto Ayora,EC,-0.74,-90.35,78.8,61,75,18.34
31,Kalach-na-Donu,RU,48.69,43.52,68.0,45,0,8.95
32,Ibra,OM,22.69,58.55,72.23,65,0,2.62
33,Mataura,NZ,-46.19,168.86,57.29,68,0,15.59
34,Avera,US,33.19,-82.53,96.8,45,40,9.17
35,Hokitika,NZ,-42.72,170.96,50.36,100,0,4.41
36,Punta Arenas,CL,-53.16,-70.91,51.8,66,75,24.16
37,Saint-Philippe,CA,45.36,-73.48,82.4,45,1,9.17
38,Thompson,CA,55.74,-97.86,44.6,52,75,9.17
39,Mikhaylovka,RU,52.96,103.29,42.53,62,48,6.2
40,Sharkan,RU,57.3,53.87,49.1,82,24,8.21
41,Gejiu,CN,23.36,103.16,64.22,98,92,2.06
42,Jamestown,AU,-33.21,138.6,45.5,57,36,24.32
43,Palafrugell,ES,41.92,3.16,71.6,88,75,3.36
44,Port Elizabeth,US,39.31,-74.98,75.92,90,90,12.75
45,Codrington,AU,-28.95,153.24,58.91,90,0,4.85
46,Luderitz,NA,-26.65,15.16,53.87,84,0,10.22
47,Abu Samrah,SY,35.3,37.18,66.02,74,0,7.65
48,Naze,NG,5.43,7.07,74.21,94,76,6.76
49,Poronaysk,RU,49.22,143.1,46.76,96,8,2.95
50,Preobrazheniye,RU,42.9,133.91,48.74,83,32,0.27
51,Nueva Helvecia,UY,-34.28,-57.23,66.29,66,56,10.45
52,Fonte Boa,BR,-2.51,-66.09,86.9,72,24,5.19
53,Magugu,TZ,-4.02,35.77,65.66,65,0,9.55
54,Lebu,ET,8.96,38.73,57.2,93,40,4.7
55,Hermanus,ZA,-34.42,19.24,47.12,96,12,3.18
56,Orlik,RU,52.51,99.83,34.97,60,36,7.43
57,Westport,IE,53.8,-9.52,53.87,100,88,10.45
58,Nolinsk,RU,57.56,49.93,43.16,87,0,3.18
59,Nhulunbuy,AU,-12.18,136.78,69.8,94,24,11.23
60,Stokmarknes,NO,68.56,14.91,50.0,81,75,21.92
61,Bethel,US,60.79,-161.76,60.98,77,90,6.93
62,Sovetskiy,RU,56.76,48.47,44.6,81,0,4.97
63,Fort Abbas,PK,29.19,72.85,81.95,58,0,8.43
64,Husavik,CA,50.56,-96.99,64.22,94,68,4.18
65,Riyadh,SA,24.63,46.72,89.6,11,0,2.24
66,Avarua,CK,-21.21,-159.78,73.4,69,75,10.29
67,Tabou,CI,4.42,-7.36,75.29,100,88,11.01
68,Ponta do Sol,BR,-20.63,-46.0,64.76,91,36,3.85
69,Rikitea,PF,-23.12,-134.97,72.05,100,76,4.97
70,Boda,BD,26.2,88.56,74.03,98,88,3.74
71,Russell,AR,-33.01,-68.8,77.0,44,0,10.29
72,Kalga,RU,50.92,118.9,37.22,65,8,10.67
73,Castro,CL,-42.48,-73.76,50.36,82,76,5.53
74,Belozerskoye,RU,55.82,65.58,55.04,62,0,13.69
75,Tuburan,PH,10.73,123.82,80.6,83,90,17.22
76,Tuktoyaktuk,CA,69.44,-133.03,32.0,100,75,3.36
77,Beian,NO,63.66,9.57,48.2,93,75,3.36
78,Kavaratti,IN,10.57,72.64,81.32,100,76,9.44
79,Pacific Grove,US,36.62,-121.92,75.2,72,1,8.05
80,Sitka,US,37.17,-99.65,90.95,47,0,16.26
81,Ancud,CL,-41.87,-73.83,50.81,79,76,5.75
82,Esperance,TT,10.24,-61.45,89.6,59,20,13.87
83,Barrow,AR,-38.31,-60.23,71.06,40,0,10.0
84,Alta Floresta,BR,-9.87,-56.08,91.4,46,20,6.93
85,Galle,US,29.74,-97.91,86.0,74,20,17.22
86,Guanhaes,BR,-18.77,-42.93,72.77,57,0,4.52
87,Rawson,AR,-43.3,-65.11,77.81,20,0,12.8
88,Coihaique,CL,-45.58,-72.07,51.8,62,75,9.17
